ID,kmeans_cluster2,kmeans_cluster3,kmeans_cluster4,kmeans_cluster5,kmeans_cluster6,kmeans_cluster7,kmeans_cluster8,kmeans_cluster9,kmeans_cluster10
1,1,0,1,2,1,1,4,2,1
3,0,2,0,1,5,4,7,6,4
4,0,2,2,3,0,0,1,7,7
8,0,1,3,4,3,2,0,5,0
10,0,2,0,1,4,5,3,8,5
13,1,0,1,2,1,1,4,2,1
14,0,2,2,3,0,0,1,0,3
18,0,2,2,3,0,0,1,0,3
20,1,0,1,2,1,1,4,2,1
23,0,2,2,0,0,0,5,4,8
25,0,1,3,4,2,3,6,3,6
26,1,0,1,2,1,1,4,2,1
29,0,2,2,3,0,0,1,7,7
31,0,2,0,1,4,5,3,8,5
32,0,1,3,4,2,3,6,3,6
34,0,2,2,3,0,0,1,7,7
36,1,0,1,2,1,6,2,1,9
39,0,2,2,3,0,0,1,0,2
42,0,2,2,3,0,0,1,0,3
43,0,2,2,3,0,0,1,0,3
45,1,0,1,2,1,1,4,2,1
49,0,2,2,3,0,0,1,0,3
51,0,2,0,1,4,5,3,8,5
54,0,2,2,3,0,0,1,0,2
56,1,0,1,2,1,1,4,2,1
60,0,1,3,4,2,3,6,3,6
61,1,0,1,2,1,1,4,2,1
66,1,0,1,2,1,1,4,2,1
68,0,2,2,3,0,0,1,7,7
74,0,2,2,3,0,0,1,0,2
75,1,0,1,2,1,6,2,1,9
77,1,0,1,2,1,1,4,2,1
80,1,0,1,2,1,1,4,2,1
82,0,2,2,3,0,0,1,0,2
83,0,2,2,0,0,6,5,4,8
84,1,0,1,2,1,1,4,2,1
87,1,0,1,2,1,1,4,2,1
88,0,1,3,4,3,2,0,5,0
90,0,2,2,3,0,0,1,0,3
91,0,2,2,3,0,0,1,0,3
92,1,0,1,2,1,6,2,1,9
93,0,2,2,0,0,0,5,4,8
95,0,2,2,3,0,0,1,7,7
101,0,2,2,3,0,0,1,7,7
102,0,2,2,3,0,0,1,0,3
105,1,0,1,2,1,1,4,2,1
106,0,2,2,0,0,6,5,4,8
107,0,2,0,1,5,4,7,6,4
109,0,2,2,3,0,0,1,0,3
111,1,0,1,2,1,1,4,2,1
113,0,2,0,1,5,4,7,6,4
115,0,2,2,0,0,0,5,4,8
118,1,0,1,2,1,6,2,1,9
122,1,0,0,0,1,6,2,1,9
125,0,2,2,3,0,0,1,7,7
127,0,2,2,3,0,0,1,0,3
130,0,2,2,3,0,0,1,7,7
131,1,0,1,2,1,1,4,2,1
132,0,2,2,3,0,0,1,0,2
134,0,2,2,3,0,0,1,0,3
135,0,2,2,3,0,0,1,0,2
136,0,1,3,4,3,2,0,5,0
137,1,0,1,2,1,1,4,2,1
139,1,0,1,2,1,1,4,2,1
140,0,2,2,3,0,0,1,0,3
141,1,0,1,2,1,1,4,2,1
142,0,2,2,3,0,0,1,0,3
143,0,2,2,3,0,0,1,0,3
144,1,0,1,2,1,1,4,2,1
145,1,0,1,2,1,1,4,2,1
146,0,2,2,3,0,0,1,7,7
148,0,2,2,3,2,3,6,0,3
150,1,0,1,2,1,1,4,2,1
151,0,2,2,0,0,0,5,4,8
152,1,0,1,2,1,1,4,2,1
153,0,2,0,1,4,5,3,8,5
154,1,0,1,2,1,6,2,1,9
155,0,2,2,3,0,0,1,0,3
156,0,2,2,3,0,0,1,0,3
157,0,2,2,3,0,0,1,7,7
159,0,1,3,4,3,2,0,5,0
161,1,0,1,2,1,1,4,2,1
162,1,0,1,2,1,1,4,2,1
163,0,2,0,1,5,4,7,6,4
165,0,2,2,3,0,0,1,0,3
166,1,0,1,2,1,1,4,2,1
169,0,2,2,3,0,0,1,7,7
170,0,2,2,3,0,0,1,0,3
171,1,0,1,2,1,1,4,2,1
172,0,2,2,3,0,0,1,0,3
173,1,0,0,0,4,6,2,1,9
175,0,2,2,3,0,0,1,0,3
176,0,2,2,3,0,0,1,0,3
177,0,2,2,3,0,0,1,0,3
178,0,2,2,3,0,0,1,7,7
179,0,2,2,3,0,0,1,0,3
180,1,0,1,2,1,1,4,2,1
182,1,0,1,2,1,1,4,2,1
183,1,0,1,2,1,1,4,2,1
184,0,2,2,3,0,0,1,0,3
186,0,2,2,3,0,0,1,7,7
188,0,2,2,3,0,0,1,0,3
191,0,2,2,3,0,0,1,0,2
192,0,2,2,3,0,0,1,7,7
193,0,2,0,1,5,4,7,6,4
195,0,2,2,3,0,0,1,7,7
196,0,2,2,3,0,0,1,0,2
199,0,2,2,3,0,0,1,0,3
200,0,2,2,0,0,0,5,4,8
202,1,0,1,2,1,1,4,2,1
203,1,0,1,2,1,1,4,2,1
204,0,2,2,3,0,0,1,0,3
206,0,2,2,3,0,0,1,0,3
207,0,2,0,1,5,4,7,6,4
209,0,2,2,3,0,0,1,0,2
210,0,2,2,3,0,0,1,0,3
212,1,0,1,2,1,1,4,2,1
213,0,1,3,4,2,3,6,3,6
214,1,0,1,2,1,6,2,1,9
215,0,1,3,4,3,2,0,5,0
217,0,2,2,3,0,0,1,0,3
218,0,2,2,3,0,0,1,0,3
220,0,2,0,1,5,4,7,6,4
221,1,0,1,2,1,6,2,1,9
222,0,2,2,3,0,0,1,7,7
225,0,2,2,3,0,0,1,0,3
227,0,2,2,3,0,0,1,0,3
228,1,0,1,2,1,1,4,2,1
231,0,2,2,3,0,0,1,0,3
232,0,2,2,0,0,0,5,4,8
233,0,2,2,3,0,0,1,7,7
234,0,2,0,1,0,0,1,0,3
235,1,0,1,2,1,1,4,2,1
236,0,2,2,3,0,0,1,7,7
239,0,2,0,1,5,4,7,6,4
241,0,2,0,1,4,5,3,8,5
242,0,2,2,0,0,0,5,4,8
244,0,2,2,3,0,0,1,0,3
252,1,0,1,2,1,1,4,2,1
253,0,2,2,3,0,0,1,0,2
254,0,2,2,3,0,0,1,0,3
258,1,0,1,2,1,1,4,2,1
259,0,2,2,3,0,0,1,0,3
262,0,2,2,3,0,0,1,0,3
265,1,0,1,2,1,1,4,2,1
266,0,1,3,4,3,2,0,5,0
269,1,0,1,2,1,1,4,2,1
270,0,2,0,1,5,4,7,6,4
271,0,2,2,3,0,0,1,0,3
273,0,2,0,1,5,4,7,6,4
276,0,2,2,3,0,0,1,0,3
279,0,2,2,3,0,0,1,0,3
285,0,1,3,4,3,2,0,5,0
287,0,2,2,3,0,0,1,7,7
288,1,0,1,2,1,1,4,2,1
289,0,2,2,3,0,0,1,0,3
292,1,0,1,2,1,1,4,2,1
294,1,0,1,2,1,6,2,1,9
296,0,2,0,1,5,4,7,6,4
299,0,2,2,3,0,0,1,0,3
301,0,2,2,3,0,0,1,0,3
302,0,1,3,4,3,2,0,5,0
303,1,0,1,2,1,6,2,1,9
306,1,0,1,2,1,1,4,2,1
307,0,2,2,3,0,0,1,7,7
311,0,2,2,3,0,0,1,0,2
314,0,2,2,3,0,0,1,0,3
316,0,2,2,3,0,0,1,0,3
319,1,0,1,2,1,1,4,2,1
320,0,2,2,0,0,0,5,4,8
322,0,2,2,3,0,0,1,0,3
324,1,0,1,0,1,6,2,1,9
332,0,2,0,1,5,4,7,6,4
333,0,2,2,3,0,0,1,0,3
340,0,2,2,0,0,0,5,4,8
342,0,2,2,3,0,0,1,0,2
344,1,0,1,2,1,1,4,2,1
345,1,0,1,2,1,1,4,2,1
347,0,2,2,3,0,0,1,7,7
349,1,0,1,2,1,1,4,2,1
353,1,0,1,2,1,6,2,1,9
354,1,0,1,2,1,1,4,2,1
355,0,2,2,3,0,0,1,7,7
356,0,2,2,3,0,0,1,0,2
359,0,2,2,0,0,0,5,4,8
362,0,2,2,3,0,0,1,0,3
363,0,2,2,3,0,0,1,0,2
369,0,2,2,3,0,0,1,0,3
371,1,0,1,2,1,1,4,2,1
373,1,0,1,2,1,1,4,2,1
374,1,0,1,2,1,1,4,2,1
375,0,2,2,3,0,0,1,0,3
378,0,2,2,0,0,0,5,4,8
382,1,0,1,2,1,1,4,2,1
383,1,0,1,2,1,1,4,2,1
384,0,2,2,3,0,0,1,7,7
387,0,2,2,3,0,0,1,7,7
388,1,0,1,2,1,1,4,2,1
390,0,2,2,3,0,0,1,0,3
394,0,1,3,4,2,3,6,3,6
402,1,0,1,2,1,6,2,1,9
404,0,2,2,3,0,0,1,7,7
407,0,2,0,1,5,4,7,6,4
408,1,0,1,2,1,6,2,1,9
410,0,1,3,4,2,3,6,3,6
412,1,0,1,2,1,1,4,2,1
414,1,0,1,2,1,1,4,2,1
415,0,2,0,1,4,5,3,8,5
416,0,2,2,3,0,0,1,0,3
417,0,2,0,1,4,5,3,8,5
420,0,2,2,3,0,0,1,0,3
421,0,2,2,3,0,0,1,7,7
423,0,1,3,4,3,2,0,5,2
426,0,2,2,3,0,0,1,7,7
428,0,2,2,3,0,0,1,7,7
429,0,1,3,4,3,2,0,5,0
432,0,2,2,3,0,0,1,0,3
433,0,2,0,1,5,4,7,6,4
436,0,2,2,3,0,0,1,0,3
440,1,0,1,2,1,6,2,1,9
441,0,2,2,3,0,0,1,0,2
443,0,2,2,3,0,0,1,0,3
444,0,2,2,3,0,0,1,7,7
445,1,0,1,2,1,6,2,1,9
447,1,0,1,2,1,1,4,2,1
448,1,0,1,2,1,1,4,2,1
449,0,2,2,0,0,0,5,4,8
453,0,2,2,3,0,0,1,0,3
456,0,2,2,0,0,0,5,4,8
457,1,0,1,2,1,1,4,2,1
458,0,2,2,3,0,0,1,0,3
459,0,2,2,3,0,0,1,0,3
460,0,2,2,3,0,0,1,7,7
461,0,2,2,3,0,0,1,0,3
462,1,0,1,2,1,6,2,1,9
466,0,1,3,4,2,3,6,3,6
469,1,0,1,2,1,1,4,2,1
471,1,0,1,2,1,1,4,2,1
474,0,2,2,3,0,0,1,0,2
477,1,0,1,2,1,1,4,2,1
478,0,2,2,3,0,0,1,0,3
480,0,2,2,3,0,0,1,0,3
482,0,2,2,0,0,0,5,4,8
485,0,2,2,3,0,0,1,7,7
488,1,0,1,2,1,1,4,2,1
489,0,2,2,3,0,0,1,7,7
490,0,2,2,3,0,0,1,7,7
492,0,2,0,1,0,0,1,0,3
493,0,2,2,0,0,0,5,4,8
496,1,0,1,2,1,1,4,2,1
